Basic data and indicators,Description,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
(blank),Passenger transport,US$ Millions,(blank),IMF,0,0,0,0,0,0,0,200,243,402,198,109,127,145,81,102,87,84,61,40,47,42,68,102,145,65,48
DENMARK,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Overnights visitors (tourists),Thousands,1/,(blank),0,"5,035","4,693","4,788","4,744","5,011","4,946","4,935","5,564","4,630","5,469","6,129","6,564","6,347","7,037","7,726","7,846","7,843","6,977","8,528","8,991","9,651","8,087","7,475","9,088","4,230","3,182"
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Tourism expenditure in other countries,US$ Millions,(blank),..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Travel,US$ Millions,2/,IMF,"4,288","4,140","4,194","4,577","4,899","4,669","4,861","5,838","6,659","7,279","6,850","7,486","8,830","9,698","8,968","9,082","9,840","9,600","10,072","10,443","8,918","9,174","9,804","10,538","10,037","5,636","7,468"
(blank),Passenger transport,US$ Millions,(blank),..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DJIBOUTI,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Overnights visitors (tourists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Tourism expenditure in other countries,US$ Millions,(blank),IMF,16,17,17,16,12,15,13,8,10,14,14,15,14,16,18,21,34,30,0,0,0,0,0,0,0,0,0
(blank),Travel,US$ Millions,(blank),IMF,4,4,5,3,3,6,4,3,3,3,3,4,3,4,6,9,21,18,19,22,29,24,28,22,25,15,17
(blank),Passenger transport,US$ Millions,(blank),IMF,13,13,12,13,9,9,9,5,7,11,12,12,12,12,12,12,13,11,0,0,0,0,0,0,0,0,0
DOMINICA,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Overnights visitors (tourists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Tourism expenditure in other countries,US$ Millions,(blank),IMF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,34,33,28,29,31,8,9
(blank),Travel,US$ Millions,(blank),IMF,6,7,7,8,9,9,9,9,9,9,10,10,11,11,13,13,12,12,13,26,22,23,19,20,20,6,7
(blank),Passenger transport,US$ Millions,(blank),IMF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,10,9,9,11,2,2
DOMINICAN REPUBLIC,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Overnights visitors (tourists),Thousands,(blank),(blank),168,358,355,354,363,360,331,332,321,368,419,420,443,413,415,401,408,418,392,427,478,500,522,514,532,210,556
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Tourism expenditure in other countries,US$ Millions,(blank),IMF,267,313,339,380,391,440,425,429,408,448,511,495,531,532,523,662,689,690,679,717,803,882,940,"1,006","1,060",441,"1,093"
(blank),Travel,US$ Millions,(blank),IMF,173,198,221,254,264,309,291,295,272,310,352,333,326,327,359,395,396,399,382,407,463,503,530,549,624,211,693
(blank),Passenger transport,US$ Millions,(blank),IMF,94,115,118,126,127,131,134,134,136,138,159,162,205,205,164,267,293,291,297,310,340,379,410,457,436,230,400
ECUADOR,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Overnights visitors (tourists),Thousands,(blank),(blank),271,275,321,330,386,520,562,627,613,603,664,733,801,815,814,899,"1,022","1,022","1,138","1,096","1,221","1,366","1,347","1,402","1,515",508,868
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Tourism expenditure in other countries,US$ Millions,(blank),IMF,331,313,331,325,385,416,465,507,500,577,644,706,733,790,806,863,917,944,989,990,994,"1,454","1,463","1,523","1,650",533,"1,343"
(blank),Travel,US$ Millions,(blank),IMF,235,219,227,241,271,299,340,364,354,391,429,466,504,542,549,568,594,611,623,635,639,"1,081","1,064","1,134","1,216",408,"1,237"
(blank),Passenger transport,US$ Millions,(blank),IMF,96,94,104,84,114,117,125,143,146,186,215,240,229,248,257,295,323,333,366,355,355,373,399,389,434,125,106
EGYPT,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,716","4,618","4,863","5,678","5,782","6,180",0,0,0,0,0,0,0
(blank),Overnights visitors (tourists),Thousands,(blank),(blank),"2,683","2,812","2,722","2,854","2,886","2,964","3,074","3,330","3,644","5,210","5,307","4,531",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Tourism expenditure in other countries,US$ Millions,(blank),IMF,"1,371","1,382","1,431","1,271","1,218","1,206","1,248","1,309","1,465","1,543","1,932","2,156","2,886","3,390","2,941","2,696","2,575","3,037","3,261","3,486","3,636","4,351","2,419","2,897","3,718","2,568","3,315"
(blank),Travel,US$ Millions,(blank),IMF,"1,278","1,317","1,347","1,153","1,078","1,072","1,132","1,266","1,321","1,257","1,629","1,784","2,446","2,915","2,538","2,240","2,203","2,618","3,014","3,140","3,442","4,110","2,160","2,667","3,518","2,509","3,279"
(blank),Passenger transport,US$ Millions,(blank),IMF,93,65,84,118,140,134,116,43,144,286,303,372,440,475,403,456,372,419,247,346,194,241,259,230,200,59,36
EL SALVADOR,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),348,492,627,868,787,923,933,"1,001",940,"1,079","1,239","1,242","1,012",0,"1,345","1,421","1,469","1,462","1,515","1,515","1,618","1,804","1,871","1,788","1,899",515,"1,093"
(blank),Overnights visitors (tourists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,"1,160","1,163","1,166","1,163","1,250","1,411","1,394","1,260","1,331",384,801
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423,309,299,348,352,367,393,477,528,568,131,292
(blank),Tourism expenditure in other countries,US$ Millions,(blank),IMF,99,102,0,0,205,219,247,266,311,373,288,307,363,326,253,280,244,287,270,277,332,451,466,490,515,168,334
(blank),Travel,US$ Millions,(blank),IMF,72,73,153,179,169,165,195,191,229,292,206,224,278,241,187,219,203,261,242,248,294,412,418,443,482,148,283
(blank),Passenger transport,US$ Millions,(blank),IMF,27,29,0,0,36,54,52,75,82,81,82,83,85,85,66,61,41,26,28,29,38,39,48,47,33,20,51
EQUATORIAL GUINEA,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Overnights visitors (tourists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Tourism expenditure in other countries,US$ Millions,1/,CB,7,13,7,7,8,19,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Travel,US$ Millions,(blank),..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Passenger transport,US$ Millions,(blank),..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERITREA,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Overnights visitors (tourists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Tourism expenditure in other countries,US$ Millions,(blank),..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Travel,US$ Millions,(blank),..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Passenger transport,US$ Millions,(blank),..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESTONIA,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Overnights visitors (tourists),Thousands,1/,(blank),"1,764","1,547","1,616","1,659","1,780","1,800","1,658","1,849","2,075",0,0,438,677,692,752,955,"1,054","1,147","1,166","1,426","1,250","1,339","1,279","2,069","1,702",558,575
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Tourism expenditure in other countries,US$ Millions,(blank),IMF,121,141,162,197,255,253,253,305,404,486,530,706,804,939,0,0,0,0,"1,236","1,346","1,169","1,299","1,395","1,647","1,808",676,793
(blank),Travel,US$ Millions,(blank),IMF,91,101,120,155,215,204,192,231,319,399,439,586,670,809,605,633,806,796,"1,059","1,181","1,026","1,162","1,247","1,463","1,545",593,680
(blank),Passenger transport,US$ Millions,(blank),IMF,30,40,42,42,40,49,61,74,85,87,91,120,134,130,0,0,0,0,177,165,143,137,148,184,263,83,113
ESWATINI,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Overnights visitors (tourists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,"1,082","1,072","1,130","1,177","1,245","1,141","1,264","1,403","1,573","1,657","1,713","1,789","1,751","1,717","1,721",488,295
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Tourism expenditure in other countries,US$ Millions,(blank),IMF,45,44,40,60,35,32,31,0,23,54,60,54,63,59,98,87,35,53,48,62,64,33,74,43,35,36,42
(blank),Travel,US$ Millions,(blank),IMF,43,42,38,58,34,31,30,26,22,48,49,49,51,46,72,61,30,44,38,54,50,30,65,41,34,36,41
(blank),Passenger transport,US$ Millions,(blank),IMF,2,2,2,2,1,1,1,0,1,6,11,5,12,13,26,26,5,9,10,8,14,3,9,2,1,0,1
ETHIOPIA,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Overnights visitors (tourists),Thousands,(blank),(blank),120,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Tourism expenditure in other countries,US$ Millions,(blank),IMF,30,30,48,51,57,80,50,55,63,59,0,0,0,0,139,0,0,0,0,0,0,461,364,613,661,323,642
(blank),Travel,US$ Millions,(blank),IMF,25,25,40,46,51,74,44,45,50,58,77,97,107,156,138,143,170,181,214,283,372,461,356,612,661,322,640
(blank),Passenger transport,US$ Millions,(blank),IMF,5,5,8,5,6,6,6,10,13,1,0,0,0,0,1,0,0,0,0,0,0,0,8,1,0,1,2
FIJI,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Overnights visitors (tourists),Thousands,(blank),(blank),68,72,74,78,89,83,85,99,104,94,109,121,120,124,125,128,132,132,0,0,0,156,169,174,174,40,14
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Tourism expenditure in other countries,US$ Millions,(blank),IMF,82,88,87,67,82,96,84,79,88,118,132,113,106,108,108,102,116,110,105,99,115,119,138,160,174,77,74
(blank),Travel,US$ Millions,(blank),IMF,64,70,69,52,66,83,65,55,70,94,106,101,92,93,95,88,98,91,91,89,104,109,128,149,165,75,74
(blank),Passenger transport,US$ Millions,(blank),IMF,18,18,18,15,16,13,19,24,18,24,26,12,14,15,13,14,18,19,14,10,11,10,10,11,9,2,1
FINLAND,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),1/,(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,"6,668","6,428","6,413","6,566","6,693","7,485","8,238","9,978","9,526","9,783","10,022","10,278","10,480","10,480","10,440","2,690","2,270"
(blank),Overnights visitors (tourists),Thousands,2/,(blank),"5,147","4,918","5,233","4,743","5,314","5,914","5,824","5,857","5,585","5,798","5,902","5,756","5,749","5,854","5,832","6,633","7,274","9,055","8,562","8,731","8,904","9,125","9,330","9,450","9,410","2,330","1,810"
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,766,672,664,712,861,852,964,923,964,"1,052","1,118","1,153","1,150","1,030","1,030",360,450
(blank),Tourism expenditure in other countries,US$ Millions,(blank),IMF,"2,853","2,760","2,541","2,565","2,525","2,293","2,442","2,440","2,956","3,385","3,620","4,099","4,812","5,577","5,236","5,268","6,013","5,841","6,387","6,326","5,786","6,199","6,740","7,223","6,841","1,914","1,562"
(blank),Travel,US$ Millions,(blank),IMF,"2,278","2,285","2,080","2,062","2,035","1,852","1,852","2,008","2,435","2,823","3,056","3,424","3,983","4,544","4,404","4,305","4,882","4,887","5,297","5,305","4,796","5,191","5,610","6,072","5,678","1,646","1,377"
(blank),Passenger transport,US$ Millions,(blank),IMF,575,475,461,503,490,441,590,432,521,562,564,675,829,"1,033",832,963,"1,131",954,"1,090","1,021",990,"1,008","1,130","1,151","1,163",268,185
FRANCE,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),1/,(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,"27,107","33,144","30,960","30,646","29,973","31,153","29,642","30,457","31,941","30,608","29,636","44,265","48,069","49,276","21,287","22,007"
(blank),Overnights visitors (tourists),Thousands,(blank),(blank),"18,686","18,151","17,115","18,077","16,709","19,886","19,265","18,315","18,576","21,131","22,480","22,240","28,103","25,506","25,140","25,041","26,155","25,317","26,062","27,919","26,648","26,483","29,055","30,509","30,407","11,937","13,681"
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,"4,867","5,041","5,454","5,506","4,932","4,998","4,325","4,395","4,023","3,960","3,153","15,209","17,560","18,868","9,350","8,326"
(blank),Tourism expenditure in other countries,US$ Millions,(blank),IMF,"20,699","22,049",0,0,"31,630","29,016","28,781","30,270","35,807","36,362","38,633","39,319","46,042","50,373","45,087","46,695","55,509","50,068","52,444","58,464","47,713","49,029","53,787","59,131","59,754","30,493","37,653"
(blank),Travel,US$ Millions,(blank),IMF,"16,358","17,748","17,490","18,819","25,204","22,537","22,611","23,779","28,075","29,469","31,347","32,347","37,898","40,928","36,991","38,297","44,725","39,836","42,183","48,777","39,521","40,436","44,192","49,464","50,507","27,758","34,648"
(blank),Passenger transport,US$ Millions,2/,IMF,"4,341","4,301",0,0,"6,426","6,479","6,170","6,491","7,732","6,893","7,286","6,972","8,144","9,445","8,096","8,398","10,784","10,232","10,261","9,687","8,192","8,593","9,595","9,667","9,247","2,735","3,005"
FRENCH GUIANA,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Overnights visitors (tourists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Tourism expenditure in other countries,US$ Millions,(blank),..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Travel,US$ Millions,(blank),..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Passenger transport,US$ Millions,(blank),..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRENCH POLYNESIA,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Overnights visitors (tourists),Thousands,(blank),(blank),63,65,0,0,0,0,0,0,0,0,0,0,0,0,88,89,84,83,0,48,55,48,55,47,63,12,0
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Tourism expenditure in other countries,US$ Millions,(blank),IMF,0,0,0,0,0,0,0,264,335,425,430,0,0,388,339,335,327,300,293,312,277,226,0,0,0,0,0
(blank),Travel,US$ Millions,(blank),IMF,0,0,0,0,0,0,0,180,236,311,312,122,153,159,164,160,168,158,156,169,146,152,152,177,0,0,0
(blank),Passenger transport,US$ Millions,(blank),IMF,0,0,0,0,0,0,0,84,99,114,118,0,0,229,175,175,159,142,137,143,131,74,0,0,0,0,0
GABON,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Overnights visitors (tourists),Thousands,(blank),(blank),0,0,0,203,187,168,189,219,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Tourism expenditure in other countries,US$ Millions,(blank),IMF,182,168,156,158,195,183,256,234,239,275,346,0,328,490,476,560,658,441,404,509,346,0,0,0,0,0,0
(blank),Travel,US$ Millions,(blank),IMF,137,100,86,84,91,84,225,194,194,214,274,0,229,381,360,376,543,314,278,397,232,0,0,0,0,0,0
(blank),Passenger transport,US$ Millions,(blank),IMF,45,68,70,74,104,99,31,40,45,61,72,0,99,109,116,184,115,127,126,112,114,0,0,0,0,0,0
GAMBIA,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Overnights visitors (tourists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,387,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Tourism expenditure in other countries,US$ Millions,(blank),IMF,16,16,17,0,0,0,0,0,8,6,7,8,13,12,12,14,16,13,10,55,5,7,9,10,10,4,12
(blank),Travel,US$ Millions,(blank),IMF,14,15,16,0,0,0,0,0,4,4,5,6,13,12,12,14,16,13,10,54,4,6,7,9,9,4,12
(blank),Passenger transport,US$ Millions,(blank),IMF,2,1,1,0,0,0,0,0,4,2,2,2,0,0,0,0,0,0,0.4,1.4,1.4,1.2,1.5,1.4,0.7,0.2,0
GEORGIA,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Overnights visitors (tourists),Thousands,(blank),(blank),228,219,355,433,373,315,306,317,0,466,857,"1,346","1,473","1,872","1,980","2,086","2,237","2,734","3,220","3,106","3,136","3,400","3,851","3,698","3,780",0,0
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Tourism expenditure in other countries,US$ Millions,(blank),IMF,0,0,171,239,135,129,136,189,170,196,237,257,277,337,311,329,384,471,537,563,609,706,853,960,"1,124",292,347
(blank),Travel,US$ Millions,(blank),IMF,0,0,156,226,130,110,107,149,130,147,169,167,176,203,181,199,213,256,294,299,330,386,464,525,657,180,185
(blank),Passenger transport,US$ Millions,(blank),IMF,0,0,15,13,5,19,29,40,40,49,68,90,101,134,130,130,171,215,243,264,279,320,389,435,467,112,162
